"emp_no","first_name","last_name","title","from_date","to_date"
10070,"Reuven","Garigliano","Technique Leader","1985-10-14","9999-01-01"
10129,"Armond","Peir","Technique Leader","1996-01-16","9999-01-01"
10130,"Nishit","Casperson","Senior Engineer","1988-06-21","9999-01-01"
10138,"Perry","Shimshoni","Senior Engineer","2001-03-03","9999-01-01"
10150,"Zhenbing","Perng","Senior Engineer","1995-11-16","9999-01-01"
10153,"Heekeun","Majewski","Assistant Engineer","2000-01-08","9999-01-01"
10258,"Basil","Ishibashi","Senior Engineer","1997-05-16","9999-01-01"
10396,"Sibyl","Rahier","Senior Engineer","1986-01-11","9999-01-01"
10404,"Prodip","Rosti","Senior Engineer","1996-08-28","9999-01-01"
10426,"Arunas","Luce","Technique Leader","1985-07-06","9999-01-01"
10512,"Udi","Gihr","Senior Staff","1998-11-28","9999-01-01"
10522,"Marke","Cesareni","Senior Staff","1995-12-12","9999-01-01"
10564,"Jianhao","Thisen","Senior Engineer","2000-11-22","9999-01-01"
10631,"Inderjeet","Chaudhuri","Engineer","1994-10-18","9999-01-01"
10642,"Hirochika","Narlikar","Engineer","1998-10-05","9999-01-01"
10718,"Adib","Rullman","Senior Engineer","1997-07-21","9999-01-01"
10749,"King","Brendel","Senior Engineer","1990-09-26","9999-01-01"
10768,"Ishfaq","Candan","Senior Engineer","1990-07-04","9999-01-01"
10808,"Chenxi","Leijenhorst","Senior Engineer","1987-03-07","9999-01-01"
10921,"Mara","Bahi","Senior Engineer","1995-07-27","9999-01-01"
10943,"Berna","Skafidas","Senior Engineer","1999-05-22","9999-01-01"
10965,"Eckart","Braunschweig","Senior Staff","1986-07-29","9999-01-01"
10988,"Chinya","Deyuan","Senior Engineer","1985-06-19","9999-01-01"
11027,"Remzi","Cappello","Senior Engineer","1996-05-06","9999-01-01"
11038,"Jinya","Beidas","Senior Staff","1992-07-15","9999-01-01"
11042,"Gou","Breugel","Senior Engineer","2000-06-21","9999-01-01"
11100,"Berna","Cochrane","Senior Staff","1993-10-13","9999-01-01"
11106,"Aris","Iwayama","Senior Engineer","1997-08-30","9999-01-01"
11133,"Nalini","Azulay","Technique Leader","1994-03-06","9999-01-01"
11137,"Hugh","Luca","Engineer","1995-03-16","9999-01-01"
11139,"Bogdan","Homond","Senior Staff","1995-05-11","9999-01-01"
11197,"Tadahiro","Fordan","Senior Staff","1989-09-12","9999-01-01"
11204,"Diederik","Covnot","Technique Leader","1985-09-18","9999-01-01"
11207,"Saeed","Gips","Engineer","1999-01-31","9999-01-01"
11232,"Hidefumi","Crelier","Senior Staff","2000-08-01","9999-01-01"
